name,state,region,lat,lon,campuses,id_long,id,locale,ug_enrollment,main_campus,hbcu,women_only,religious_affiliation,admission_rate,class,social_sciences,humanities,physical_sciences,ethnic_gender_studies,comp_sci,avg_faculty_salary,completion_rate,pell_grant,first_gen_completion_4
Saint Anthony College of Nursing,IL,Midwest,42.310147,-88.991968,3,998700,9987,Midsize City / Suburb,NULL,1,0,0,1,0,26,0,0,0,0,0,7137,NULL,0.3719,NA
Belanger School of Nursing,NY,New England,42.802979,-73.915884,1,644800,6448,Small City / Suburb,NULL,1,0,0,NA,0,10,0,0,0,0,0,6619,NULL,0.3814,NA
Saint Elizabeth College of Nursing,NY,New England,43.082768,-75.267857,2,646100,6461,Small City / Suburb,NULL,1,0,0,1,0,10,0,0,0,0,0,7550,NULL,0.5495,NA
Southside College of Health Sciences,VA,Southeast,37.267704,-77.400278,1,1274400,12744,Large City / Suburb,NULL,1,0,0,NA,0,10,0,0,0,0,0,5895,NULL,0.0654,NA
Portland Actors Conservatory,OR,Far West,45.521752,-122.687534,1,4146500,41465,Large City / Suburb,NULL,1,0,0,NA,0,-2,0,0,0,0,0,NA,NULL,0.1739,NA
Chamberlain University-California,CA,Far West,38.596193,-121.278258,15,638520,6385,Small City / Suburb,NULL,0,0,0,NA,0,-2,0,0,0,0,0,9172,NULL,0.338,0.44371808
Stanford University,CA,Far West,37.429434,-122.167359,1,130500,1305,Large City / Suburb,NULL,1,0,0,NA,0.0436,15,0.1149,0,0.0483,0.0306,0.188,20279,0.9438,0.1606,0.835555556
Dallas Nursing Institute,TX,Southwest,32.979753,-96.75721,1,3416500,34165,Midsize City / Suburb,NULL,1,0,0,NA,0.0452,26,0,0,0,0,0,6050,0.4845,0.6215,0.496815287
Curtis Institute of Music,PA,New England,39.948857,-75.170727,1,325100,3251,Large City / Suburb,NULL,1,0,0,NA,0.0455,30,0,0,0,0,0,8681,0.6429,0.0992,NA
Harvard University,MA,New England,42.374471,-71.118313,1,215500,2155,Midsize City / Suburb,NULL,1,0,0,NA,0.0473,15,0.311,0.0176,0.0675,0.0132,0.0845,20484,0.9771,0.1088,0.790262172
Princeton University,NJ,New England,40.348732,-74.659365,1,262700,2627,Large City / Suburb,NULL,1,0,0,NA,0.0548,15,0.1824,0,0.0423,0.0239,0,20185,0.9638,0.1863,0.881944444
Columbia University in the City of New York,NY,New England,40.808286,-73.961885,1,270700,2707,Large City / Suburb,NULL,1,0,0,NA,0.0591,15,0.2721,0.0019,0.0355,0.0233,0.1132,18763,0.9582,0.2365,0.74159292
Yale University,CT,New England,41.311158,-72.926688,1,142600,1426,Midsize City / Suburb,NULL,1,0,0,NA,0.0635,15,0.2734,0.0084,0.0449,0.0541,0.0564,19093,0.966,0.158,0.893081761
California Institute of Technology,CA,Far West,34.137349,-118.125878,1,113100,1131,Midsize City / Suburb,NULL,1,0,0,NA,0.0662,15,0.0044,0,0.2588,0,0.25,19993,0.9202,0.1415,NA
