state,year,population,region,after2000
AK,1950,135000,West,FALSE
AK,1951,158000,West,FALSE
AK,1952,189000,West,FALSE
AK,1953,205000,West,FALSE
AK,1954,215000,West,FALSE
AK,1955,222000,West,FALSE
AK,1956,224000,West,FALSE
AK,1957,231000,West,FALSE
AK,1958,224000,West,FALSE
AK,1959,224000,West,FALSE
AK,1960,229000,West,FALSE
AK,1961,238000,West,FALSE
AK,1962,246000,West,FALSE
AK,1963,256000,West,FALSE
AK,1964,263000,West,FALSE
AK,1965,271000,West,FALSE
AK,1966,271000,West,FALSE
AK,1967,278000,West,FALSE
AK,1968,285000,West,FALSE
AK,1969,296000,West,FALSE
AK,1970,302583,West,FALSE
AK,1971,315510,West,FALSE
AK,1972,324464,West,FALSE
AK,1973,330543,West,FALSE
AK,1974,341063,West,FALSE
AK,1975,376170,West,FALSE
AK,1976,400969,West,FALSE
AK,1977,403436,West,FALSE
AK,1978,404766,West,FALSE
AK,1979,402753,West,FALSE
AK,1980,405315,West,FALSE
AK,1981,418491,West,FALSE
AK,1982,449606,West,FALSE
AK,1983,488417,West,FALSE
AK,1984,513702,West,FALSE
AK,1985,532495,West,FALSE
AK,1986,544268,West,FALSE
AK,1987,539309,West,FALSE
AK,1988,541983,West,FALSE
AK,1989,547159,West,FALSE
AK,1990,553120,West,FALSE
AK,1991,569273,West,FALSE
AK,1992,587073,West,FALSE
AK,1993,596993,West,FALSE
AK,1994,600624,West,FALSE
AK,1995,601345,West,FALSE
AK,1996,604918,West,FALSE
AK,1997,608846,West,FALSE
AK,1998,615205,West,FALSE
AK,1999,619500,West,FALSE
AK,2000,627963,West,TRUE
AK,2001,633714,West,TRUE
AK,2002,642337,West,TRUE
AK,2003,648414,West,TRUE
AK,2004,659286,West,TRUE
AK,2005,666946,West,TRUE
AK,2006,675302,West,TRUE
AK,2007,680300,West,TRUE
AK,2008,687455,West,TRUE
AK,2009,698895,West,TRUE
AK,2010,713910,West,TRUE
AK,2011,722128,West,TRUE
AK,2012,730443,West,TRUE
AK,2013,737068,West,TRUE
AK,2014,736283,West,TRUE
AK,2015,737498,West,TRUE
AK,2016,741456,West,TRUE
AK,2017,739700,West,TRUE
AK,2018,735139,West,TRUE
AK,2019,731545,West,TRUE
AL,1900,1830000,South,FALSE
AL,1901,1907000,South,FALSE
AL,1902,1935000,South,FALSE
AL,1903,1957000,South,FALSE
AL,1904,1978000,South,FALSE
AL,1905,2012000,South,FALSE
AL,1906,2045000,South,FALSE
AL,1907,2058000,South,FALSE
AL,1908,2070000,South,FALSE
AL,1909,2108000,South,FALSE
AL,1910,2150000,South,FALSE
AL,1911,2185000,South,FALSE
AL,1912,2217000,South,FALSE
AL,1913,2279000,South,FALSE
AL,1914,2336000,South,FALSE
AL,1915,2345000,South,FALSE
AL,1916,2359000,South,FALSE
AL,1917,2361000,South,FALSE
AL,1918,2343000,South,FALSE
AL,1919,2337000,South,FALSE
AL,1920,2359000,South,FALSE
AL,1921,2402000,South,FALSE
AL,1922,2434000,South,FALSE
AL,1923,2464000,South,FALSE
AL,1924,2501000,South,FALSE
AL,1925,2534000,South,FALSE
AL,1926,2567000,South,FALSE
AL,1927,2609000,South,FALSE
AL,1928,2640000,South,FALSE
AL,1929,2644000,South,FALSE
AL,1930,2647000,South,FALSE
AL,1931,2649000,South,FALSE
