year,team,scored,conceded,penalties,matches,shots_on_goal,shots_wide,free_kicks,offside,corners,won,drawn,lost,wc_winner
1930,Argentina,18,9,0,5,18,0,0,0,0,4,0,1,FALSE
1930,Uruguay,15,3,0,4,15,0,0,0,0,4,0,0,TRUE
1930,United States,7,6,0,3,7,0,0,0,0,2,0,1,FALSE
1930,Yugoslavia,7,7,0,3,7,0,0,0,0,2,0,1,FALSE
1930,Brazil,5,2,0,2,5,0,0,0,0,1,0,1,FALSE
1930,Chile,5,3,0,3,5,0,0,0,0,2,0,1,FALSE
1930,France,4,3,0,3,4,0,0,0,0,1,0,2,FALSE
1930,Mexico,4,13,1,3,4,0,0,0,0,0,0,3,FALSE
1930,Romania,3,5,0,2,3,0,0,0,0,1,0,1,FALSE
1930,Paraguay,1,3,0,2,1,0,0,0,0,1,0,1,FALSE
1930,Peru,1,4,0,2,1,0,0,0,0,0,0,2,FALSE
1930,Belgium,0,4,0,2,0,0,0,0,0,0,0,2,FALSE
1930,Bolivia,0,8,0,2,0,0,0,0,0,0,0,2,FALSE
1934,Italy,12,3,0,5,12,0,0,0,0,4,1,0,TRUE
1934,Germany,11,8,0,4,11,0,0,0,0,3,0,1,FALSE
1934,Czechoslovakia,9,6,0,4,9,0,0,0,0,3,0,1,FALSE
1934,Austria,7,7,0,4,7,0,0,0,0,2,0,2,FALSE
1934,Hungary,5,4,1,2,5,0,0,0,0,1,0,1,FALSE
1934,Switzerland,5,5,0,2,5,0,0,0,0,1,0,1,FALSE
1934,Spain,4,3,1,3,4,0,0,0,0,1,1,1,FALSE
1934,Sweden,4,4,0,2,4,0,0,0,0,1,0,1,FALSE
1934,Argentina,2,3,0,1,2,0,0,0,0,0,0,1,FALSE
1934,Netherlands,2,3,0,1,2,0,0,0,0,0,0,1,FALSE
1934,France,2,3,1,1,2,0,0,0,0,0,0,1,FALSE
1934,Egypt,2,4,0,1,2,0,0,0,0,0,0,1,FALSE
1934,Belgium,2,5,0,1,2,0,0,0,0,0,0,1,FALSE
1934,Romania,1,2,0,1,1,0,0,0,0,0,0,1,FALSE
1934,Brazil,1,3,0,1,1,0,0,0,0,0,0,1,FALSE
1934,United States,1,7,0,1,1,0,0,0,0,0,0,1,FALSE
1938,Hungary,15,5,0,4,15,0,0,0,0,3,0,1,FALSE
1938,Brazil,14,11,0,5,14,0,0,0,0,3,1,1,FALSE
1938,Italy,11,5,1,4,11,0,0,0,0,4,0,0,TRUE
1938,Sweden,11,9,0,3,11,0,0,0,0,1,0,2,FALSE
